2025-02-25 12:15:31,809 - SingleTFBreakoutStrategy - DEBUG - 2025-01-03 10:36:00 – no 'yesterday' data: close=None, range=None. Skipping entry.
2025-02-25 12:15:31,809 - SingleTFBreakoutStrategy - DEBUG - 2025-01-03 10:37:00 – no 'yesterday' data: close=None, range=None. Skipping entry.
2025-02-25 12:15:31,809 - SingleTFBreakoutStrategy - DEBUG - 2025-01-03 10:38:00 – no 'yesterday' data: close=None, range=None. Skipping entry.
2025-02-25 12:15:31,810 - SingleTFBreakoutStrategy - DEBUG - 2025-01-03 10:39:00 – no 'yesterday' data: close=None, range=None. Skipping entry.
2025-02-25 12:15:31,810 - SingleTFBreakoutStrategy - DEBUG - 2025-01-03 10:40:00 – no 'yesterday' data: close=None, range=None. Skipping entry.
2025-02-25 12:15:31,810 - SingleTFBreakoutStrategy - DEBUG - 2025-01-03 10:41:00 – no 'yesterday' data: close=None, range=None. Skipping entry.
2025-02-25 12:15:31,811 - SingleTFBreakoutStrategy - DEBUG - 2025-01-03 10:42:00 – no 'yesterday' data: close=None, range=None. Skipping entry.
2025-02-25 12:15:31,811 - SingleTFBreakoutStrategy - DEBUG - 2025-01-03 10:43:00 – no 'yesterday' data: close=None, range=None. Skipping entry.
2025-02-25 12:15:31,811 - SingleTFBreakoutStrategy - DEBUG - 2025-01-03 10:44:00 – no 'yesterday' data: close=None, range=None. Skipping entry.
2025-02-25 12:15:31,811 - SingleTFBreakoutStrategy - DEBUG - 2025-01-03 10:45:00 – no 'yesterday' data: close=None, range=None. Skipping entry.
2025-02-25 12:15:31,812 - SingleTFBreakoutStrategy - DEBUG - 2025-01-03 10:46:00 – no 'yesterday' data: close=None, range=None. Skipping entry.
2025-02-25 12:15:31,812 - SingleTFBreakoutStrategy - DEBUG - 2025-01-03 10:47:00 – no 'yesterday' data: close=None, range=None. Skipping entry.
2025-02-25 12:15:31,812 - SingleTFBreakoutStrategy - DEBUG - 2025-01-03 10:48:00 – no 'yesterday' data: close=None, range=None. Skipping entry.
2025-02-25 12:15:31,812 - SingleTFBreakoutStrategy - DEBUG - 2025-01-03 10:49:00 – no 'yesterday' data: close=None, range=None. Skipping entry.
2025-02-25 12:15:31,813 - SingleTFBreakoutStrategy - DEBUG - 2025-01-03 10:50:00 – no 'yesterday' data: close=None, range=None. Skipping entry.
2025-02-25 12:15:31,813 - SingleTFBreakoutStrategy - DEBUG - 2025-01-03 10:51:00 – no 'yesterday' data: close=None, range=None. Skipping entry.
2025-02-25 12:15:31,813 - SingleTFBreakoutStrategy - DEBUG - 2025-01-03 10:52:00 – no 'yesterday' data: close=None, range=None. Skipping entry.
2025-02-25 12:15:31,814 - SingleTFBreakoutStrategy - DEBUG - 2025-01-03 10:53:00 – no 'yesterday' data: close=None, range=None. Skipping entry.
2025-02-25 12:15:31,814 - SingleTFBreakoutStrategy - DEBUG - 2025-01-03 10:54:00 – no 'yesterday' data: close=None, range=None. Skipping entry.
2025-02-25 12:15:31,814 - SingleTFBreakoutStrategy - DEBUG - 2025-01-03 10:55:00 – no 'yesterday' data: close=None, range=None. Skipping entry.
2025-02-25 12:15:31,814 - SingleTFBreakoutStrategy - DEBUG - 2025-01-03 10:56:00 – no 'yesterday' data: close=None, range=None. Skipping entry.
2025-02-25 12:15:31,815 - SingleTFBreakoutStrategy - DEBUG - 2025-01-03 10:57:00 – no 'yesterday' data: close=None, range=None. Skipping entry.
2025-02-25 12:15:31,815 - SingleTFBreakoutStrategy - DEBUG - 2025-01-03 10:58:00 – no 'yesterday' data: close=None, range=None. Skipping entry.
2025-02-25 12:15:31,815 - SingleTFBreakoutStrategy - DEBUG - 2025-01-03 10:59:00 – no 'yesterday' data: close=None, range=None. Skipping entry.
2025-02-25 12:15:31,815 - SingleTFBreakoutStrategy - DEBUG - 2025-01-03 11:00:00 – no 'yesterday' data: close=None, range=None. Skipping entry.
2025-02-25 12:15:31,816 - SingleTFBreakoutStrategy - DEBUG - 2025-01-03 11:01:00 – no 'yesterday' data: close=None, range=None. Skipping entry.
2025-02-25 12:15:31,816 - SingleTFBreakoutStrategy - DEBUG - 2025-01-03 11:02:00 – no 'yesterday' data: close=None, range=None. Skipping entry.
2025-02-25 12:15:31,816 - SingleTFBreakoutStrategy - DEBUG - 2025-01-03 11:03:00 – no 'yesterday' data: close=None, range=None. Skipping entry.
2025-02-25 12:15:31,816 - SingleTFBreakoutStrategy - DEBUG - 2025-01-03 11:04:00 – no 'yesterday' data: close=None, range=None. Skipping entry.
2025-02-25 12:15:31,817 - SingleTFBreakoutStrategy - DEBUG - 2025-01-03 11:05:00 – no 'yesterday' data: close=None, range=None. Skipping entry.
2025-02-25 12:15:31,817 - SingleTFBreakoutStrategy - DEBUG - 2025-01-03 11:06:00 – no 'yesterday' data: close=None, range=None. Skipping entry.
2025-02-25 12:15:31,817 - SingleTFBreakoutStrategy - DEBUG - 2025-01-03 11:07:00 – no 'yesterday' data: close=None, range=None. Skipping entry.
2025-02-25 12:15:31,818 - SingleTFBreakoutStrategy - DEBUG - 2025-01-03 11:08:00 – no 'yesterday' data: close=None, range=None. Skipping entry.
2025-02-25 12:15:31,818 - SingleTFBreakoutStrategy - DEBUG - 2025-01-03 11:09:00 – no 'yesterday' data: close=None, range=None. Skipping entry.
2025-02-25 12:15:31,818 - SingleTFBreakoutStrategy - DEBUG - 2025-01-03 11:10:00 – no 'yesterday' data: close=None, range=None. Skipping entry.
2025-02-25 12:15:31,818 - SingleTFBreakoutStrategy - DEBUG - 2025-01-03 11:11:00 – no 'yesterday' data: close=None, range=None. Skipping entry.
2025-02-25 12:15:31,819 - SingleTFBreakoutStrategy - DEBUG - 2025-01-03 11:12:00 – no 'yesterday' data: close=None, range=None. Skipping entry.
2025-02-25 12:15:31,819 - SingleTFBreakoutStrategy - DEBUG - 2025-01-03 11:13:00 – no 'yesterday' data: close=None, range=None. Skipping entry.
2025-02-25 12:15:31,819 - SingleTFBreakoutStrategy - DEBUG - 2025-01-03 11:14:00 – no 'yesterday' data: close=None, range=None. Skipping entry.
2025-02-25 12:15:31,819 - SingleTFBreakoutStrategy - DEBUG - 2025-01-03 11:15:00 – no 'yesterday' data: close=None, range=None. Skipping entry.
2025-02-25 12:15:31,820 - SingleTFBreakoutStrategy - DEBUG - 2025-01-03 11:16:00 – no 'yesterday' data: close=None, range=None. Skipping entry.
2025-02-25 12:15:31,820 - SingleTFBreakoutStrategy - DEBUG - 2025-01-03 11:17:00 – no 'yesterday' data: close=None, range=None. Skipping entry.
2025-02-25 12:15:31,820 - SingleTFBreakoutStrategy - DEBUG - 2025-01-03 11:18:00 – no 'yesterday' data: close=None, range=None. Skipping entry.
2025-02-25 12:15:31,820 - SingleTFBreakoutStrategy - DEBUG - 2025-01-03 11:19:00 – no 'yesterday' data: close=None, range=None. Skipping entry.
2025-02-25 12:15:31,821 - SingleTFBreakoutStrategy - DEBUG - 2025-01-03 11:20:00 – no 'yesterday' data: close=None, range=None. Skipping entry.
2025-02-25 12:15:31,821 - SingleTFBreakoutStrategy - DEBUG - 2025-01-03 11:21:00 – no 'yesterday' data: close=None, range=None. Skipping entry.
2025-02-25 12:15:31,821 - SingleTFBreakoutStrategy - DEBUG - 2025-01-03 11:22:00 – no 'yesterday' data: close=None, range=None. Skipping entry.
2025-02-25 12:15:31,821 - SingleTFBreakoutStrategy - DEBUG - 2025-01-03 11:23:00 – no 'yesterday' data: close=None, range=None. Skipping entry.
2025-02-25 12:15:31,822 - SingleTFBreakoutStrategy - DEBUG - 2025-01-03 11:24:00 – no 'yesterday' data: close=None, range=None. Skipping entry.
2025-02-25 12:15:31,822 - SingleTFBreakoutStrategy - DEBUG - 2025-01-03 11:25:00 – no 'yesterday' data: close=None, range=None. Skipping entry.
2025-02-25 12:15:31,822 - SingleTFBreakoutStrategy - DEBUG - 2025-01-03 11:26:00 – no 'yesterday' data: close=None, range=None. Skipping entry.
2025-02-25 12:15:31,823 - SingleTFBreakoutStrategy - DEBUG - 2025-01-03 11:27:00 – no 'yesterday' data: close=None, range=None. Skipping entry.
2025-02-25 12:15:31,823 - SingleTFBreakoutStrategy - DEBUG - 2025-01-03 11:28:00 – no 'yesterday' data: close=None, range=None. Skipping entry.
